"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"6/29/2021","3:27 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.600000, 0, 0, 0, 34.7, 1.212158, 4095.000000, 0, 5.86440056, 2.80175937, 5.48393130, 4.90496216, 0.70467772, 0.35016793, 4.49655779, 2.49470248, 1.63289316, 1.84255622, 1.33426801, 0.55826304, 0.75548987, 0.52047905, 1.25543096, 1.18078128, 0.81555058, 0.78479483, 0.75225848, 0.91106637, 0.51535234, 0.59557107, 0.76807908, 2.18577938, 0.57828717, 2.00441256, 0.27861159, 0.90195615, 1.03864623, 2.81003910, 0.45938417, 0.47870340
1.100000, 0, 0, 0, 34.7, 1.210327, 4095.000000, 0, 5.86474169, 2.80156902, 5.48427298, 4.90400657, 0.70471874, 0.35018896, 4.49628122, 2.49464100, 1.63299154, 1.84260849, 1.33423718, 0.55825540, 0.75550481, 0.52049312, 1.25543355, 1.18078097, 0.81557132, 0.78481684, 0.75228167, 0.91108423, 0.51535956, 0.59558233, 0.76805253, 2.18582420, 0.57827186, 2.00428946, 0.27861025, 0.90194857, 1.03866758, 2.81001463, 0.45938359, 0.47869755
1.700000, 0, 0, 0, 34.7, 1.212769, 4095.000000, 0, 5.86485600, 2.80181153, 5.48419793, 4.90411577, 0.70469674, 0.35018065, 4.49599982, 2.49463264, 1.63300986, 1.84261469, 1.33425175, 0.55828206, 0.75548774, 0.52047563, 1.25544910, 1.18080081, 0.81554959, 0.78480063, 0.75229090, 0.91108266, 0.51535956, 0.59558869, 0.76809271, 2.18592999, 0.57827585, 2.00409643, 0.27861510, 0.90194387, 1.03861521, 2.81027156, 0.45942107, 0.47871471
2.200000, 0, 0, 0, 34.7, 1.212769, 4095.000000, 0, 5.86465377, 2.80194161, 5.48422348, 4.90493895, 0.70473707, 0.35017464, 4.49677251, 2.49475979, 1.63307797, 1.84263374, 1.33433170, 0.55830376, 0.75551454, 0.52046537, 1.25551874, 1.18081012, 0.81553947, 0.78482337, 0.75227386, 0.91108134, 0.51536797, 0.59556534, 0.76806185, 2.18588778, 0.57828256, 2.00425976, 0.27861426, 0.90191801, 1.03867128, 2.81018456, 0.45945643, 0.47870769
2.800000, 0, 0, 0, 34.7, 1.212769, 4095.000000, 0, 5.86482259, 2.80171805, 5.48442307, 4.90485840, 0.70473913, 0.35017765, 4.49681497, 2.49475263, 1.63302898, 1.84259963, 1.33425310, 0.55830479, 0.75550291, 0.52047985, 1.25547987, 1.18088299, 0.81555749, 0.78482652, 0.75228569, 0.91113152, 0.51536316, 0.59555897, 0.76806018, 2.18580648, 0.57828109, 2.00428227, 0.27860958, 0.90196268, 1.03870402, 2.81027496, 0.45948641, 0.47870574
3.300000, 0, 0, 0, 34.7, 1.210327, 4095.000000, 0, 5.86427220, 2.80182508, 5.48430651, 4.90478877, 0.70478106, 0.35018242, 4.49694599, 2.49482307, 1.63297720, 1.84261380, 1.33432527, 0.55829632, 0.75552521, 0.52047080, 1.25546465, 1.18078500, 0.81554243, 0.78480451, 0.75227788, 0.91109422, 0.51537518, 0.59559527, 0.76810611, 2.18580856, 0.57827459, 2.00425689, 0.27861543, 0.90195145, 1.03869889, 2.81029807, 0.45951390, 0.47872368
3.900000, 0, 0, 0, 34.7, 1.210327, 4095.000000, 0, 5.86440759, 2.80195109, 5.48414205, 4.90477922, 0.70480260, 0.35017535, 4.49683317, 2.49476696, 1.63302301, 1.84260184, 1.33428359, 0.55831699, 0.75552142, 0.52047221, 1.25551258, 1.18088485, 0.81556046, 0.78481442, 0.75228901, 0.91109264, 0.51537218, 0.59558105, 0.76811256, 2.18587579, 0.57827815, 2.00431532, 0.27860992, 0.90196555, 1.03867925, 2.81025933, 0.45954119, 0.47872095
4.500000, 0, 0, 0, 34.7, 1.210938, 4095.000000, 0, 5.86448496, 2.80180341, 5.48448055, 4.90496763, 0.70480810, 0.35019020, 4.49698118, 2.49481173, 1.63298516, 1.84263551, 1.33433780, 0.55830397, 0.75552094, 0.52046658, 1.25549704, 1.18080857, 0.81556342, 0.78479193, 0.75228924, 0.91110578, 0.51536697, 0.59558508, 0.76812763, 2.18594406, 0.57828046, 2.00422527, 0.27862211, 0.90193630, 1.03867897, 2.81030487, 0.45957906, 0.47871237
5.000000, 0, 0, 0, 34.7, 1.212158, 4095.000000, 0, 5.86467487, 2.80184405, 5.48388500, 4.90557115, 0.70479985, 0.35018596, 4.49745558, 2.49490307, 1.63309510, 1.84252610, 1.33445436, 0.55829095, 0.75551881, 0.52047865, 1.25553072, 1.18083275, 0.81557873, 0.78482918, 0.75228759, 0.91110315, 0.51537378, 0.59559888, 0.76809869, 2.18586380, 0.57828507, 2.00442789, 0.27861409, 0.90196398, 1.03871170, 2.81033138, 0.45960385, 0.47872660
5.600000, 0, 0, 0, 34.7, 1.210327, 4095.000000, 0, 5.86500196, 2.80166250, 5.48431768, 4.90549195, 0.70479962, 0.35019639, 4.49652018, 2.49475502, 1.63304690, 1.84264481, 1.33447028, 0.55830913, 0.75549793, 0.52048709, 1.25550190, 1.18080112, 0.81557725, 0.78481297, 0.75224806, 0.91110026, 0.51536456, 0.59557277, 0.76811950, 2.18582472, 0.57829535, 2.00428515, 0.27861042, 0.90197286, 1.03871426, 2.81046258, 0.45963018, 0.47871763
