Time,,,,Ambient Temp [C],Therm1 [volts],Battery Raw Reading,Flag,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
0.6,0,0,0,35.2,1.210327,4095,0,5.80104838,2.7761155,5.43906144,4.85785733,0.70519013,0.34456931,4.47231512,2.49405307,1.61366578,1.83817231,1.32702477,0.5584131,0.7547619,0.51919998,1.25528683,1.17712338,0.81407221,0.78193791,0.74843584,0.91155905,0.51491751,0.59567765,0.76287865,2.14863284,0.5772534,1.97563538,0.27771828,0.89863971,1.02520484,2.78096674,0.45464152,0.47790132
1.1,0,0,0,35.2,1.212158,4095,0,5.80145515,2.77630258,5.43806586,4.85783173,0.70520251,0.34457934,4.47237654,2.4940841,1.61365987,1.83829562,1.32710541,0.55842013,0.75476901,0.51919757,1.25532343,1.17704695,0.81403743,0.78198837,0.74845543,0.91155484,0.5149127,0.59569463,0.76284528,2.14858673,0.57725926,1.97565522,0.27771928,0.89867542,1.02526722,2.7809177,0.45465397,0.47788652
1.7,0,0,0,35.2,1.212158,4095,0,5.80077664,2.77625296,5.4387285,4.85765524,0.70521695,0.34457441,4.47230187,2.49400592,1.61363818,1.83825319,1.32706728,0.55843729,0.75478561,0.51921304,1.25529785,1.17708687,0.81403645,0.78200986,0.74845094,0.91157876,0.51491651,0.59569548,0.7628448,2.14853754,0.5772622,1.97550922,0.27771344,0.89865561,1.02524887,2.78105072,0.45464994,0.47789704
2.3,0,0,0,35.2,1.211548,4095,0,5.80110896,2.77626838,5.43846027,4.85759731,0.70522726,0.34458374,4.47236931,2.49397429,1.61373755,1.83820015,1.32706391,0.55840215,0.75481335,0.51918452,1.25524311,1.1771045,0.81405914,0.78199223,0.74848895,0.91158322,0.51490489,0.59570801,0.76286578,2.14864872,0.57727079,1.97562546,0.2777086,0.89868611,1.02520653,2.78103594,0.45467331,0.47789743
2.8,0,0,0,35.2,1.2146,4095,0,5.80135129,2.77607527,5.4383735,4.8578452,0.70526187,0.34457529,4.47234402,2.49405605,1.61375608,1.83824303,1.32717459,0.55842674,0.75480339,0.51919195,1.25531469,1.17709182,0.81406037,0.78197678,0.74849461,0.91160188,0.5149133,0.59572117,0.76287626,2.14865334,0.57726576,1.97542323,0.27772195,0.8986835,1.02521218,2.7811468,0.45466277,0.47789957
3.4,0,0,0,35.2,1.213989,4095,0,5.80076972,2.77631264,5.4384792,4.85788023,0.70526485,0.34459219,4.4725307,2.49392595,1.61376791,1.83828192,1.32706121,0.55841765,0.75480552,0.51919396,1.25526093,1.17702653,0.81403201,0.78200116,0.74849037,0.91158953,0.51491471,0.59568274,0.7628653,2.14871687,0.57726953,1.97560278,0.2777066,0.89871295,1.02522883,2.78118913,0.45468327,0.47790659
3.9,0,0,0,35.2,1.210938,4095,0,5.80080433,2.77622882,5.43873481,4.85780074,0.70525958,0.3445892,4.47284506,2.49396713,1.6137825,1.83828325,1.32699845,0.55838788,0.75479936,0.51919998,1.25527809,1.17706521,0.81404113,0.78199996,0.74848092,0.91152961,0.51492332,0.59569506,0.7628765,2.14878553,0.57726744,1.97555647,0.27771428,0.89867855,1.02521133,2.78132216,0.45469552,0.47789899
4.5,0,0,0,35.2,1.211548,4095,0,5.80090818,2.77641859,5.43808163,4.85787215,0.70522428,0.34458796,4.47266078,2.49403457,1.6138314,1.83822711,1.32703894,0.55841248,0.75481311,0.51920199,1.25528878,1.17705283,0.81405519,0.78198161,0.74849367,0.9115417,0.5149089,0.59570567,0.76286935,2.14874557,0.57725884,1.97560656,0.27771094,0.8986822,1.02525847,2.78094457,0.45470318,0.47789353
5,0,0,0,35.2,1.212769,4095,0,5.80099818,2.77630191,5.43866696,4.85756767,0.70525614,0.34458568,4.47244157,2.4939546,1.61382115,1.83827927,1.32703793,0.55840773,0.75481074,0.51920882,1.25526254,1.17713328,0.8140436,0.78199247,0.74848777,0.91153855,0.5149075,0.59570312,0.76288246,2.14877733,0.57726785,1.97567601,0.27771494,0.89868115,1.02523561,2.78119853,0.45470299,0.4778986
5.6,0,0,0,35.2,1.210938,4095,0,5.80071952,2.77611684,5.43924449,4.85768892,0.70526462,0.34460944,4.47204777,2.49403815,1.61381642,1.83828192,1.32710912,0.55838561,0.75477944,0.51917588,1.25527291,1.17712152,0.81405248,0.7820142,0.74846865,0.9115693,0.51493133,0.59571289,0.76292799,2.14876504,0.5772777,1.97571665,0.27771878,0.89867855,1.02525791,2.78125363,0.45470548,0.47790853
6.2,0,0,0,35.2,1.211548,4095,0,5.80069876,2.7763066,5.43863383,4.85781287,0.70530222,0.34460328,4.47241267,2.49415572,1.61387636,1.83828723,1.3271098,0.55840793,0.75477447,0.5191803,1.25530853,1.17709089,0.81406111,0.78200986,0.74846275,0.91154354,0.51491571,0.59570397,0.76285195,2.14868971,0.57726429,1.9758414,0.27771878,0.89870826,1.02527541,2.78114948,0.45470414,0.4779021
