"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B191023297 +++ Firmware version: 40.51"
"7/26/2021","3:14 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
0.500000, 0, 0, 0, 34.7, 1.208496, 4095.000000, 0, 5.96431338, 2.84430690, 5.55700347, 4.99963947, 0.69432822, 0.34542762, 4.56146682, 2.49141190, 1.64114998, 1.85170585, 1.32393776, 0.55858054, 0.75422125, 0.52273500, 1.25210485, 1.18663812, 0.81701186, 0.77543152, 0.76232884, 0.89051156, 0.51627254, 0.59543670, 0.76042123, 2.26531317, 0.57967974, 2.02528034, 0.27928307, 0.88746372, 1.04326449, 2.83346282, 0.43505927, 0.47864881
1.100000, 0, 0, 0, 34.7, 1.212769, 4095.000000, 0, 5.96387188, 2.84407403, 5.55714177, 4.99940957, 0.69437918, 0.34542586, 4.56130111, 2.49102087, 1.64109758, 1.85171697, 1.32395191, 0.55855470, 0.75423121, 0.52274185, 1.25211326, 1.18661198, 0.81700445, 0.77543320, 0.76235148, 0.89046749, 0.51626593, 0.59542821, 0.76044551, 2.26535314, 0.57968876, 2.02518165, 0.27927706, 0.88748623, 1.04324908, 2.83340725, 0.43510777, 0.47864413
1.700000, 0, 0, 0, 34.7, 1.212158, 4095.000000, 0, 5.96388990, 2.84426900, 5.55665530, 4.99890355, 0.69438396, 0.34542991, 4.56148290, 2.49117644, 1.64112078, 1.85164533, 1.32401355, 0.55854685, 0.75423832, 0.52273460, 1.25213363, 1.18666177, 0.81700198, 0.77542527, 0.76235219, 0.89051649, 0.51627415, 0.59542375, 0.76044146, 2.26530128, 0.57966861, 2.02536790, 0.27928124, 0.88752246, 1.04328076, 2.83341137, 0.43512230, 0.47866596
2.300000, 0, 0, 0, 34.7, 1.213989, 4095.000000, 0, 5.96410974, 2.84409539, 5.55667157, 4.99911520, 0.69437895, 0.34542568, 4.56139262, 2.49107392, 1.64120638, 1.85161730, 1.32400243, 0.55858468, 0.75423571, 0.52273097, 1.25213201, 1.18659860, 0.81698691, 0.77544522, 0.76234671, 0.89050949, 0.51627956, 0.59541738, 0.76047287, 2.26514302, 0.57967848, 2.02540854, 0.27928675, 0.88749218, 1.04328733, 2.83361787, 0.43514721, 0.47866401
2.800000, 0, 0, 0, 34.7, 1.211548, 4095.000000, 0, 5.96434222, 2.84404234, 5.55661300, 4.99959041, 0.69439852, 0.34543484, 4.56101423, 2.49103696, 1.64111198, 1.85168538, 1.32404858, 0.55855470, 0.75424922, 0.52275534, 1.25208837, 1.18668884, 0.81697529, 0.77545748, 0.76236149, 0.89053282, 0.51626252, 0.59543861, 0.76045717, 2.26519217, 0.57967974, 2.02527502, 0.27928959, 0.88751314, 1.04331330, 2.83376607, 0.43516174, 0.47864471
3.500000, 0, 0, 0, 34.7, 1.212158, 4095.000000, 0, 5.96434582, 2.84409194, 5.55621769, 4.99930864, 0.69447155, 0.34545333, 4.56122692, 2.49140713, 1.64115038, 1.85165201, 1.32409877, 0.55854685, 0.75423761, 0.52276400, 1.25212102, 1.18662878, 0.81699135, 0.77542695, 0.76236292, 0.89054112, 0.51628978, 0.59544243, 0.76045717, 2.26526293, 0.57968625, 2.02539355, 0.27929227, 0.88753203, 1.04334413, 2.83377293, 0.43516381, 0.47864686
4.000000, 0, 0, 0, 34.7, 1.212158, 4095.000000, 0, 5.96402144, 2.84443298, 5.55649587, 4.99915585, 0.69445972, 0.34544611, 4.56119724, 2.49125334, 1.64116158, 1.85172053, 1.32403611, 0.55854912, 0.75423974, 0.52273460, 1.25215496, 1.18666457, 0.81699037, 0.77543056, 0.76236744, 0.89055486, 0.51627395, 0.59544477, 0.76048287, 2.26519973, 0.57968625, 2.02536065, 0.27926970, 0.88756283, 1.04330417, 2.83359591, 0.43519646, 0.47866050
4.600000, 0, 0, 0, 34.7, 1.211548, 4095.000000, 0, 5.96350790, 2.84435237, 5.55660324, 4.99949929, 0.69446541, 0.34544963, 4.56146559, 2.49126109, 1.64122678, 1.85162976, 1.32406340, 0.55854023, 0.75421415, 0.52273842, 1.25221994, 1.18661820, 0.81700420, 0.77539739, 0.76238198, 0.89055486, 0.51627314, 0.59544010, 0.76048311, 2.26521918, 0.57969926, 2.02532630, 0.27928575, 0.88758741, 1.04329646, 2.83338667, 0.43520193, 0.47865719
5.100000, 0, 0, 0, 34.7, 1.211548, 4095.000000, 0, 5.96388269, 2.84429932, 5.55710922, 4.99982172, 0.69447042, 0.34545809, 4.56143220, 2.49097378, 1.64141481, 1.85166625, 1.32415300, 0.55856421, 0.75424495, 0.52275313, 1.25217824, 1.18665866, 0.81699778, 0.77544498, 0.76238055, 0.89055668, 0.51628337, 0.59544455, 0.76049263, 2.26532721, 0.57968541, 2.02550918, 0.27928057, 0.88757654, 1.04334870, 2.83372147, 0.43522722, 0.47865992
5.700000, 0, 0, 0, 34.7, 1.213379, 4095.000000, 0, 5.96403406, 2.84428072, 5.55732726, 4.99895822, 0.69450136, 0.34545386, 4.56133450, 2.49109478, 1.64129519, 1.85169517, 1.32402197, 0.55852390, 0.75423808, 0.52275212, 1.25220249, 1.18663843, 0.81699358, 0.77545628, 0.76234195, 0.89055694, 0.51628838, 0.59544965, 0.76052666, 2.26521810, 0.57968499, 2.02532243, 0.27928458, 0.88759776, 1.04329703, 2.83374685, 0.43524572, 0.47867220
